letter,P
A,0.08570979822119293
B,0.018136071349380375
C,0.03488321959151494
D,0.04158454261006677
E,0.12867094533001552
F,0.023599374214688707
G,0.020110128359900465
H,0.04699241173717017
I,0.06880250806868857
J,0.001102515459853655
K,0.010917366774249182
L,0.044193007957821086
M,0.029210500381876864
N,0.06644041489073395
O,0.06995737761462466
P,0.021723866072088496
Q,0.0014258789327157605
R,0.06455258813964375
S,0.06980955431274483
T,0.0795812904974254
U,0.027642957451526274
V,0.008161078124615043
W,0.016873413979156916
X,0.001724605188597896
Y,0.01644226268200744
Z,0.0017523220577003622
